state,year,month,deaths
AZ,2015,June,1209.0
AZ,2015,July,1201.0
AZ,2015,August,1240.0
AZ,2015,September,1241.0
AZ,2015,October,1264.0
AZ,2015,November,1269.0
AZ,2015,December,1267.0
AZ,2016,January,1298.0
AZ,2016,February,1307.0
AZ,2016,March,1313.0
AZ,2016,April,1335.0
AZ,2016,May,1350.0
AZ,2016,June,1370.0
AZ,2016,July,1421.0
AZ,2016,August,1410.0
AZ,2016,September,1404.0
AZ,2016,October,1405.0
AZ,2016,November,1397.0
AZ,2016,December,1393.0
AZ,2017,January,1417.0
AZ,2017,February,1411.0
AZ,2017,March,1429.0
AZ,2017,April,1416.0
AZ,2017,May,1434.0
AZ,2017,June,1452.0
AZ,2017,July,1447.0
AZ,2017,August,1465.0
AZ,2017,September,1487.0
AZ,2017,October,1497.0
AZ,2017,November,1510.0
CA,2015,January,248191.0
CA,2015,February,249920.0
CA,2015,March,251540.0
CA,2015,April,252831.0
CA,2015,May,253858.0
CA,2015,June,254838.0
CA,2015,July,255417.0
CA,2015,August,256464.0
CA,2015,September,257163.0
CA,2015,October,257750.0
CA,2015,November,258808.0
CA,2015,December,260172.0
CA,2016,January,259303.0
CA,2016,February,260508.0
CA,2016,March,261416.0
CA,2016,April,261595.0
CA,2016,May,261557.0
CA,2016,June,261467.0
CA,2016,July,261603.0
CA,2016,August,261781.0
CA,2016,September,262041.0
CA,2016,October,262751.0
CA,2016,November,262360.0
CA,2016,December,263199.0
CA,2017,January,265344.0
CA,2017,February,264895.0
CA,2017,March,264775.0
CA,2017,April,265300.0
CA,2017,May,265970.0
CA,2017,June,266923.0
CA,2017,July,267399.0
CA,2017,August,267375.0
CA,2017,September,268120.0
CA,2017,October,268401.0
CA,2017,November,268415.0
CA,2015,January,4603.0
CA,2015,February,4616.0
CA,2015,March,4608.0
CA,2015,April,4625.0
CA,2015,May,4607.0
CA,2015,June,4604.0
CA,2015,July,4628.0
CA,2015,August,4670.0
CA,2015,September,4747.0
CA,2015,October,4784.0
CA,2015,November,4747.0
CA,2015,December,4762.0
CA,2016,January,4745.0
CA,2016,February,4745.0
CA,2016,March,4768.0
CA,2016,April,4795.0
CA,2016,May,4811.0
CA,2016,June,4844.0
CA,2016,July,4816.0
CA,2016,August,4791.0
CA,2016,September,4716.0
CA,2016,October,4659.0
CA,2016,November,4709.0
CA,2016,December,4755.0
CA,2017,January,4769.0
CA,2017,February,4720.0
CA,2017,March,4714.0
CA,2017,April,4701.0
CA,2017,May,4733.0
CA,2017,June,4767.0
CA,2017,July,4819.0
CA,2017,August,4843.0
CA,2017,September,4899.0
CA,2017,October,4996.0
CA,2017,November,4965.0
CO,2015,January,36264.0
CO,2015,February,36330.0
CO,2015,March,36300.0
CO,2015,April,36601.0
CO,2015,May,36667.0
CO,2015,June,36816.0
CO,2015,July,36960.0
CO,2015,August,37125.0
CO,2015,September,37101.0
CO,2015,October,37144.0
CO,2015,November,37144.0
CO,2015,December,36993.0
CO,2016,January,36752.0
CO,2016,February,36987.0
CO,2016,March,37387.0
CO,2016,April,37351.0
CO,2016,May,37535.0
CO,2016,June,37504.0
CO,2016,July,37620.0
CO,2016,August,37650.0
CO,2016,September,37834.0
CO,2016,October,38048.0
CO,2016,November,38075.0
CO,2016,December,38151.0
CO,2017,January,38236.0
CO,2017,February,38358.0
CO,2017,March,38365.0
CO,2017,April,38522.0
CO,2017,May,38411.0
CO,2017,June,38473.0
CO,2017,July,38371.0
CO,2017,August,38385.0
CO,2017,September,38547.0
CO,2017,October,38595.0
CO,2017,November,38708.0
CO,2015,January,923.0
CO,2015,February,932.0
CO,2015,March,939.0
CO,2015,April,950.0
CO,2015,May,927.0
CO,2015,June,921.0
CO,2015,July,918.0
CO,2015,August,928.0
CO,2015,September,917.0
CO,2015,October,915.0
CO,2015,November,908.0
CO,2015,December,913.0
CO,2016,January,913.0
CO,2016,February,912.0
CO,2016,March,908.0
CO,2016,April,894.0
CO,2016,May,915.0
CO,2016,June,935.0
CO,2016,July,928.0
CO,2016,August,934.0
CO,2016,September,933.0
CO,2016,October,948.0
CO,2016,November,952.0
CO,2016,December,965.0
CO,2017,January,976.0
CO,2017,February,966.0
CO,2017,March,963.0
CO,2017,April,988.0
CO,2017,May,982.0
CO,2017,June,996.0
CO,2017,July,1012.0
CO,2017,August,1018.0
CO,2017,September,1023.0
CO,2017,October,1026.0
CO,2017,November,1045.0
CT,2015,January,118.0
CT,2015,February,124.0
CT,2015,March,124.0
CT,2015,April,125.0
CT,2015,May,124.0
CT,2015,June,126.0
CT,2015,July,133.0
CT,2015,August,134.0
CT,2015,September,139.0
CT,2015,October,155.0
CT,2015,November,164.0
CT,2015,December,168.0
CT,2016,January,171.0
CT,2016,February,177.0
CT,2016,March,179.0
CT,2016,April,186.0
CT,2016,May,195.0
CT,2016,June,197.0
CT,2016,July,201.0
CT,2016,August,211.0
CT,2016,September,223.0
CT,2016,October,223.0
CT,2016,November,224.0
CT,2016,December,237.0
CT,2017,January,250.0
CT,2017,February,247.0
CT,2017,March,259.0
CT,2017,April,267.0
CT,2017,May,280.0
CT,2017,June,278.0
CT,2017,July,286.0
CT,2017,August,293.0
CT,2017,September,288.0
CT,2017,October,284.0
CT,2017,November,283.0
CT,2015,January,298.0
CT,2015,February,302.0
CT,2015,March,294.0
CT,2015,April,306.0
CT,2015,May,306.0
CT,2015,June,309.0
CT,2015,July,338.0
CT,2015,August,341.0
CT,2015,September,353.0
CT,2015,October,368.0
CT,2015,November,382.0
CT,2015,December,394.0
CT,2016,January,403.0
CT,2016,February,410.0
CT,2016,March,424.0
CT,2016,April,436.0
CT,2016,May,454.0
CT,2016,June,462.0
CT,2016,July,454.0
CT,2016,August,461.0
CT,2016,September,456.0
CT,2016,October,443.0
CT,2016,November,451.0
CT,2016,December,459.0
CT,2017,January,470.0
CT,2017,February,468.0
CT,2017,March,475.0
CT,2017,April,464.0
CT,2017,May,472.0
CT,2017,June,473.0
CT,2017,July,473.0
CT,2017,August,469.0
CT,2017,September,461.0
CT,2017,October,455.0
CT,2017,November,431.0
CT,2015,January,58.0
CT,2015,February,54.0
CT,2015,March,57.0
CT,2015,April,57.0
CT,2015,May,58.0
CT,2015,June,62.0
CT,2015,July,74.0
CT,2015,August,76.0
CT,2015,September,76.0
CT,2015,October,75.0
CT,2015,November,77.0
CT,2015,December,73.0
CT,2016,January,72.0
CT,2016,February,72.0
CT,2016,March,71.0
CT,2016,April,73.0
CT,2016,May,74.0
CT,2016,June,72.0
CT,2016,July,62.0
CT,2016,August,64.0
CT,2016,September,65.0
CT,2016,October,66.0
CT,2016,November,68.0
CT,2016,December,71.0
CT,2017,January,67.0
CT,2017,February,70.0
CT,2017,March,73.0
CT,2017,April,78.0
CT,2017,May,81.0
CT,2017,June,85.0
CT,2017,July,87.0
CT,2017,August,87.0
CT,2017,September,81.0
CT,2017,October,83.0
CT,2017,November,89.0
CT,2015,January,170.0
CT,2015,February,168.0
CT,2015,March,174.0
CT,2015,April,164.0
CT,2015,May,166.0
CT,2015,June,174.0
CT,2015,July,183.0
CT,2015,August,177.0
CT,2015,September,181.0
CT,2015,October,184.0
CT,2015,November,188.0
CT,2015,December,182.0
CT,2016,January,180.0
CT,2016,February,184.0
CT,2016,March,177.0
CT,2016,April,188.0
CT,2016,May,186.0
CT,2016,June,188.0
CT,2016,July,183.0
CT,2016,August,192.0
CT,2016,September,192.0
CT,2016,October,195.0
CT,2016,November,201.0
CT,2016,December,214.0
CT,2017,January,209.0
CT,2017,February,205.0
CT,2017,March,213.0
CT,2017,April,208.0
CT,2017,May,223.0
CT,2017,June,216.0
CT,2017,July,218.0
CT,2017,August,212.0
CT,2017,September,209.0
CT,2017,October,204.0
CT,2017,November,187.0
CT,2015,January,30221.0
CT,2015,February,30349.0
CT,2015,March,30497.0
CT,2015,April,30431.0
CT,2015,May,30437.0
CT,2015,June,30508.0
CT,2015,July,30612.0
CT,2015,August,30549.0
CT,2015,September,30556.0
CT,2015,October,30615.0
CT,2015,November,30751.0
CT,2015,December,30600.0
CT,2016,January,30368.0
CT,2016,February,30231.0
CT,2016,March,30162.0
CT,2016,April,30198.0
CT,2016,May,30198.0
CT,2016,June,30188.0
CT,2016,July,30094.0
CT,2016,August,30156.0
CT,2016,September,30088.0
CT,2016,October,30155.0
CT,2016,November,30294.0
CT,2016,December,30641.0
CT,2017,January,30836.0
CT,2017,February,31027.0
CT,2017,March,31065.0
CT,2017,April,31109.0
CT,2017,May,31125.0
CT,2017,June,31263.0
CT,2017,July,31360.0
CT,2017,August,31389.0
CT,2017,September,31560.0
CT,2017,October,31528.0
CT,2017,November,31441.0
CT,2015,January,631.0
CT,2015,February,633.0
CT,2015,March,639.0
CT,2015,April,650.0
CT,2015,May,652.0
CT,2015,June,670.0
CT,2015,July,722.0
CT,2015,August,728.0
CT,2015,September,748.0
CT,2015,October,779.0
CT,2015,November,800.0
CT,2015,December,799.0
CT,2016,January,824.0
CT,2016,February,836.0
CT,2016,March,849.0
CT,2016,April,869.0
CT,2016,May,895.0
CT,2016,June,909.0
CT,2016,July,906.0
CT,2016,August,928.0
CT,2016,September,929.0
CT,2016,October,918.0
CT,2016,November,939.0
CT,2016,December,974.0
CT,2017,January,985.0
CT,2017,February,994.0
CT,2017,March,1018.0
CT,2017,April,1017.0
CT,2017,May,1045.0
CT,2017,June,1055.0
CT,2017,July,1071.0
CT,2017,August,1077.0
CT,2017,September,1078.0
CT,2017,October,1086.0
CT,2017,November,1056.0
CT,2015,January,532.0
CT,2015,February,530.0
CT,2015,March,536.0
CT,2015,April,550.0
CT,2015,May,553.0
CT,2015,June,567.0
CT,2015,July,616.0
CT,2015,August,618.0
CT,2015,September,633.0
CT,2015,October,660.0
CT,2015,November,683.0
CT,2015,December,686.0
CT,2016,January,711.0
CT,2016,February,731.0
CT,2016,March,741.0
CT,2016,April,766.0
CT,2016,May,795.0
CT,2016,June,810.0
CT,2016,July,800.0
CT,2016,August,825.0
CT,2016,September,832.0
CT,2016,October,814.0
CT,2016,November,834.0
CT,2016,December,869.0
CT,2017,January,874.0
CT,2017,February,878.0
CT,2017,March,904.0
CT,2017,April,902.0
CT,2017,May,925.0
CT,2017,June,939.0
CT,2017,July,962.0
CT,2017,August,964.0
CT,2017,September,962.0
CT,2017,October,973.0
CT,2017,November,951.0
CT,2015,January,99.5245641838352
CT,2015,February,99.6840442338073
CT,2015,March,99.68701095461658
CT,2015,April,99.69230769230771
CT,2015,May,99.6932515337423
CT,2015,June,99.8507462686567
CT,2015,July,99.8614958448753
CT,2015,August,100.0
